Country,Year,Happiness
Macedonia,2016,5.121
Vietnam,2016,5.061
Somaliland Region,2016,5.057
Tunisia,2016,5.045
Greece,2016,5.033
Tajikistan,2016,4.996
Mongolia,2016,4.907
Laos,2016,4.876
Nigeria,2016,4.875
Honduras,2016,4.871
Iran,2016,4.813
Zambia,2016,4.795
Nepal,2016,4.793
Palestinian Territories,2016,4.754
Albania,2016,4.655
Bangladesh,2016,4.643
Sierra Leone,2016,4.635
Iraq,2016,4.575
Namibia,2016,4.574
Cameroon,2016,4.513
Ethiopia,2016,4.508
South Africa,2016,4.459
Sri Lanka,2016,4.415
India,2016,4.404
Myanmar,2016,4.395
Egypt,2016,4.362
Armenia,2016,4.36
Kenya,2016,4.356
Ukraine,2016,4.324
Ghana,2016,4.276
Congo (Kinshasa),2016,4.272
Georgia,2016,4.252
Congo (Brazzaville),2016,4.236
Senegal,2016,4.219
Bulgaria,2016,4.217
Mauritania,2016,4.201
Zimbabwe,2016,4.193
Malawi,2016,4.156
Sudan,2016,4.139
Gabon,2016,4.121
Mali,2016,4.073
Haiti,2016,4.028
Botswana,2016,3.974
Comoros,2016,3.956
Ivory Coast,2016,3.916
Cambodia,2016,3.907
Angola,2016,3.866
Niger,2016,3.856
South Sudan,2016,3.832
Chad,2016,3.763
Burkina Faso,2016,3.739
Uganda,2016,3.739
Yemen,2016,3.724
Madagascar,2016,3.695
Tanzania,2016,3.666
Liberia,2016,3.622
Guinea,2016,3.607
Rwanda,2016,3.515
Benin,2016,3.484
Afghanistan,2016,3.36
Togo,2016,3.303
Syria,2016,3.069
Burundi,2016,2.905
Norway,2017,7.537000179
Denmark,2017,7.521999836
Iceland,2017,7.504000187
Switzerland,2017,7.493999958
Finland,2017,7.468999863
Netherlands,2017,7.376999855
Canada,2017,7.315999985
New Zealand,2017,7.31400013
Sweden,2017,7.28399992
Australia,2017,7.28399992
Israel,2017,7.212999821
Costa Rica,2017,7.078999996
Austria,2017,7.006000042
United States,2017,6.993000031
Ireland,2017,6.977000237
Germany,2017,6.951000214
Belgium,2017,6.890999794
Luxembourg,2017,6.862999916
United Kingdom,2017,6.714000225
Chile,2017,6.65199995
United Arab Emirates,2017,6.647999763
Brazil,2017,6.635000229
Czech Republic,2017,6.609000206
Argentina,2017,6.598999977
Mexico,2017,6.578000069
Singapore,2017,6.572000027
Malta,2017,6.52699995
Uruguay,2017,6.453999996
Guatemala,2017,6.453999996
Panama,2017,6.452000141
France,2017,6.441999912
Thailand,2017,6.423999786
Taiwan Province of China,2017,6.421999931
Spain,2017,6.402999878
Qatar,2017,6.375
Colombia,2017,6.356999874
Saudi Arabia,2017,6.343999863
Trinidad and Tobago,2017,6.168000221
Kuwait,2017,6.105000019
Slovakia,2017,6.09800005
Bahrain,2017,6.086999893
Malaysia,2017,6.084000111
Nicaragua,2017,6.071000099
Ecuador,2017,6.007999897
El Salvador,2017,6.002999783
Poland,2017,5.97300005
Uzbekistan,2017,5.971000195
Italy,2017,5.964000225
Russia,2017,5.962999821
Belize,2017,5.955999851
Japan,2017,5.920000076
Lithuania,2017,5.90199995
Algeria,2017,5.872000217
Latvia,2017,5.849999905
South Korea,2017,5.837999821
Moldova,2017,5.837999821
Romania,2017,5.824999809
Bolivia,2017,5.822999954
Turkmenistan,2017,5.822000027
Kazakhstan,2017,5.818999767
North Cyprus,2017,5.809999943
Slovenia,2017,5.757999897
Peru,2017,5.715000153
Mauritius,2017,5.629000187
Cyprus,2017,5.620999813
Estonia,2017,5.611000061
Belarus,2017,5.568999767
Libya,2017,5.525000095
Turkey,2017,5.5
Paraguay,2017,5.493000031
"Hong Kong S.A.R., China",2017,5.472000122
Philippines,2017,5.429999828
Serbia,2017,5.394999981
Jordan,2017,5.335999966
Hungary,2017,5.323999882
Jamaica,2017,5.31099987
Croatia,2017,5.293000221
Kosovo,2017,5.278999805
China,2017,5.272999763
Pakistan,2017,5.269000053
Indonesia,2017,5.262000084
Venezuela,2017,5.25
Montenegro,2017,5.236999989
Morocco,2017,5.235000134
Azerbaijan,2017,5.234000206
Dominican Republic,2017,5.230000019
Greece,2017,5.227000237
Lebanon,2017,5.224999905
Portugal,2017,5.195000172
Bosnia and Herzegovina,2017,5.18200016
Honduras,2017,5.181000233
Macedonia,2017,5.175000191
Somalia,2017,5.151000023
Vietnam,2017,5.073999882
Nigeria,2017,5.073999882
Tajikistan,2017,5.040999889
Bhutan,2017,5.011000156
Kyrgyzstan,2017,5.004000187
Nepal,2017,4.961999893
Mongolia,2017,4.954999924
South Africa,2017,4.828999996
Tunisia,2017,4.804999828
Palestinian Territories,2017,4.775000095
Egypt,2017,4.735000134
Bulgaria,2017,4.714000225
Sierra Leone,2017,4.709000111
Cameroon,2017,4.695000172
Iran,2017,4.691999912
Albania,2017,4.644000053
Bangladesh,2017,4.607999802
Namibia,2017,4.573999882
Kenya,2017,4.552999973
Mozambique,2017,4.550000191
Myanmar,2017,4.545000076
Senegal,2017,4.534999847
Zambia,2017,4.513999939
Iraq,2017,4.497000217
Gabon,2017,4.465000153
Ethiopia,2017,4.460000038
Sri Lanka,2017,4.440000057
Armenia,2017,4.375999928
India,2017,4.315000057
Mauritania,2017,4.291999817
Congo (Brazzaville),2017,4.290999889
Georgia,2017,4.285999775
Congo (Kinshasa),2017,4.28000021
Mali,2017,4.190000057
Ivory Coast,2017,4.179999828
Cambodia,2017,4.168000221
Sudan,2017,4.138999939
Ghana,2017,4.119999886
Ukraine,2017,4.096000195
Uganda,2017,4.080999851
Burkina Faso,2017,4.032000065
Niger,2017,4.027999878
Malawi,2017,3.970000029
Chad,2017,3.936000109
Zimbabwe,2017,3.875
Lesotho,2017,3.808000088
Angola,2017,3.795000076
Afghanistan,2017,3.79399991
Botswana,2017,3.766000032
Benin,2017,3.657000065
Madagascar,2017,3.644000053
Haiti,2017,3.602999926
Yemen,2017,3.592999935
South Sudan,2017,3.59100008
Liberia,2017,3.532999992
Guinea,2017,3.506999969
Togo,2017,3.494999886
Rwanda,2017,3.470999956
Syria,2017,3.461999893
Tanzania,2017,3.348999977
Burundi,2017,2.904999971
Central African Republic,2017,2.693000078
Finland,2018,7.632
Norway,2018,7.594
Denmark,2018,7.555
Iceland,2018,7.495
Switzerland,2018,7.487
Netherlands,2018,7.441
Canada,2018,7.328
New Zealand,2018,7.324
Sweden,2018,7.314
Australia,2018,7.272
United Kingdom,2018,7.19
Austria,2018,7.139
Costa Rica,2018,7.072
Ireland,2018,6.977
Germany,2018,6.965
Belgium,2018,6.927
Luxembourg,2018,6.91
United States,2018,6.886
Israel,2018,6.814
United Arab Emirates,2018,6.774
Czech Republic,2018,6.711
Malta,2018,6.627
France,2018,6.489
Mexico,2018,6.488
Chile,2018,6.476
Taiwan,2018,6.441
Panama,2018,6.43
Brazil,2018,6.419
Argentina,2018,6.388
Guatemala,2018,6.382
Uruguay,2018,6.379
Qatar,2018,6.374
Saudi Arabia,2018,6.371
Singapore,2018,6.343
Malaysia,2018,6.322
Spain,2018,6.31
Colombia,2018,6.26
Trinidad & Tobago,2018,6.192
Slovakia,2018,6.173
El Salvador,2018,6.167
Nicaragua,2018,6.141
Poland,2018,6.123
Bahrain,2018,6.105
Uzbekistan,2018,6.096
Kuwait,2018,6.083
Thailand,2018,6.072
Italy,2018,6
Ecuador,2018,5.973
Belize,2018,5.956
Lithuania,2018,5.952
Slovenia,2018,5.948
Romania,2018,5.945
